"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"APOC1",0,3.61084828962392,0.936,0.079,0,"0","APOC1"
"FTL",0,3.40272269313217,0.999,0.86,0,"0","FTL"
"C1QB",0,3.38363884683102,0.896,0.058,0,"0","C1QB"
"FABP4",0,3.23261331309322,0.706,0.029,0,"0","FABP4"
"C1QA",0,3.12020881361436,0.925,0.062,0,"0","C1QA"
"APOE",0,2.89150312836966,0.888,0.046,0,"0","APOE"
"C1QC",0,2.82480827306994,0.907,0.044,0,"0","C1QC"
"FTH1",0,2.76252206421378,1,0.949,0,"0","FTH1"
"HLA-DRA",0,2.69880907127349,0.972,0.514,0,"0","HLA-DRA"
"CD74",0,2.5517964243431,0.985,0.692,0,"0","CD74"
"CTSD",0,2.36808563367722,0.965,0.395,0,"0","CTSD"
"TYROBP",0,2.31004237176599,0.959,0.132,0,"0","TYROBP"
"VIM",0,2.22964980526502,0.969,0.355,0,"0","VIM"
"CD52",0,2.21406950297773,0.816,0.103,0,"0","CD52"
"HLA-DRB1",0,2.19049326270303,0.965,0.475,0,"0","HLA-DRB1"
"MARCO",0,2.18670033969605,0.862,0.022,0,"0","MARCO"
"ALOX5AP",0,2.14035028506546,0.887,0.089,0,"0","ALOX5AP"
"FCER1G",0,2.12931724926987,0.948,0.123,0,"0","FCER1G"
"CD68",0,2.0910366324379,0.941,0.067,0,"0","CD68"
"CCL18",0,2.00604716669314,0.462,0.012,0,"0","CCL18"
"CRIP1",0,1.98778603835352,0.818,0.264,0,"0","CRIP1"
"ACP5",0,1.9554745833126,0.914,0.045,0,"0","ACP5"
"CCL20",0,1.91137743161584,0.381,0.106,0,"0","CCL20"
"GRN",0,1.90992177357458,0.931,0.214,0,"0","GRN"
"S100A4",0,1.89523703015002,0.933,0.364,0,"0","S100A4"
"FBP1",0,1.85413731503699,0.856,0.086,0,"0","FBP1"
"HLA-DPA1",0,1.83217916429602,0.946,0.356,0,"0","HLA-DPA1"
"HLA-DRB5",0,1.78090234772965,0.828,0.179,0,"0","HLA-DRB5"
"S100A11",0,1.76363902159009,0.984,0.659,0,"0","S100A11"
"HLA-DPB1",0,1.73974096749034,0.938,0.279,0,"0","HLA-DPB1"
"VSIG4",0,1.67185160368263,0.835,0.036,0,"0","VSIG4"
"IFI30",0,1.67007970616896,0.636,0.072,0,"0","IFI30"
"MCEMP1",0,1.64818795843996,0.792,0.019,0,"0","MCEMP1"
"TMSB4X",0,1.60170404212812,0.993,0.826,0,"0","TMSB4X"
"MRC1",0,1.56960868522877,0.829,0.032,0,"0","MRC1"
"CAPG",0,1.5647716225646,0.888,0.107,0,"0","CAPG"
"HLA-DQA1",0,1.54265760825315,0.823,0.132,0,"0","HLA-DQA1"
"HLA-DQB1",0,1.5345602170077,0.862,0.199,0,"0","HLA-DQB1"
"LGALS3",0,1.50502409835606,0.939,0.496,0,"0","LGALS3"
"PSAP",0,1.49985247737229,0.948,0.373,0,"0","PSAP"
"FN1",0,1.4979782504552,0.538,0.044,0,"0","FN1"
"IL1B",0,1.49247727642415,0.362,0.04,0,"0","IL1B"
"MS4A7",0,1.46677285195692,0.885,0.049,0,"0","MS4A7"
"S100A10",0,1.44152010857922,0.958,0.538,0,"0","S100A10"
"CST3",0,1.4235855125194,0.964,0.521,0,"0","CST3"
"CTSC",0,1.4068073500159,0.855,0.193,0,"0","CTSC"
"SERPINA1",0,1.37767307503717,0.871,0.219,0,"0","SERPINA1"
"CTSB",0,1.36884196690907,0.919,0.297,0,"0","CTSB"
"OLR1",0,1.35607622705592,0.772,0.024,0,"0","OLR1"
"LGALS1",0,1.3530378097567,0.887,0.229,0,"0","LGALS1"
"GCHFR",0,1.33332697242786,0.748,0.116,0,"0","GCHFR"
"LYZ",0,1.28041400038856,0.915,0.174,0,"0","LYZ"
"TSPO",0,1.27728198326753,0.91,0.345,0,"0","TSPO"
"CXCL3",0,1.27612362395093,0.626,0.147,0,"0","CXCL3"
"LAPTM5",0,1.2672652637169,0.915,0.157,0,"0","LAPTM5"
"CYBA",0,1.26150176376641,0.922,0.416,0,"0","CYBA"
"ACTB",0,1.25707714687322,0.986,0.849,0,"0","ACTB"
"SPI1",0,1.24737757312785,0.812,0.056,0,"0","SPI1"
"GLUL",0,1.23786294807027,0.901,0.424,0,"0","GLUL"
"SH3BGRL3",0,1.21542644800824,0.933,0.393,0,"0","SH3BGRL3"
"CES1",0,1.20806254874579,0.578,0.117,0,"0","CES1"
