"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Scgb1a1",0,1.46425065800535,0.987,0.624,0,"0","Scgb1a1"
"Cyp2f2",0,0.641663624813531,0.665,0.181,0,"0","Cyp2f2"
"Scgb3a2",0,0.605524115214414,0.644,0.178,0,"0","Scgb3a2"
"Cmss1",0,0.59694238632624,0.576,0.196,0,"0","Cmss1"
"Cbr2",0,0.569594585552998,0.782,0.289,0,"0","Cbr2"
"Gm42418",0,0.439992829580239,0.994,0.667,0,"0","Gm42418"
"Igfbp5",0,0.378173368370996,0.39,0.099,0,"0","Igfbp5"
"AY036118",0,0.37784375440858,0.397,0.144,0,"0","AY036118"
"Alcam",0,0.360452333311582,0.658,0.315,0,"0","Alcam"
"Lars2",0,0.359642424527478,0.374,0.128,0,"0","Lars2"
"Sfta3-ps",0,0.307471463647458,0.479,0.17,0,"0","Sfta3-ps"
"Wfdc2",0,0.296506486824914,0.459,0.174,0,"0","Wfdc2"
"Aldh1a1",0,0.295785919543432,0.432,0.185,0,"0","Aldh1a1"
"Ank3",0,0.259079823199237,0.59,0.195,0,"0","Ank3"
"Cebpb",0,-0.250390053294313,0.061,0.148,0,"0","Cebpb"
"Rps17",0,-0.255829003130208,0.191,0.33,0,"0","Rps17"
"Rpl28",0,-0.263087767607886,0.25,0.374,0,"0","Rpl28"
"Rps26",0,-0.263248247447603,0.232,0.378,0,"0","Rps26"
"Rpl27",0,-0.263705180660379,0.182,0.322,0,"0","Rpl27"
"Laptm5",0,-0.265889226135041,0.083,0.225,0,"0","Laptm5"
"Rpl29",0,-0.267283755104823,0.082,0.251,0,"0","Rpl29"
"Ubb",0,-0.268262952263261,0.155,0.279,0,"0","Ubb"
"Vim",0,-0.269997448341271,0.159,0.29,0,"0","Vim"
"Pitpnc1",0,-0.272199686114313,0.142,0.257,0,"0","Pitpnc1"
"Cybb",0,-0.274370651699924,0.053,0.174,0,"0","Cybb"
"Rpl12",0,-0.27522495401079,0.201,0.32,0,"0","Rpl12"
"S100a4",0,-0.27688822759039,0.03,0.134,0,"0","S100a4"
"Rpl4",0,-0.286923087296532,0.127,0.279,0,"0","Rpl4"
"Coro1a",0,-0.288309881502222,0.066,0.231,0,"0","Coro1a"
"Klf2",0,-0.288802976694099,0.099,0.207,0,"0","Klf2"
"Cyba",0,-0.291673393195492,0.058,0.218,0,"0","Cyba"
"Jun",0,-0.29213405069485,0.07,0.197,0,"0","Jun"
"Rpl3",0,-0.296547651650723,0.176,0.338,0,"0","Rpl3"
"Rps28",0,-0.298052801520853,0.286,0.408,0,"0","Rps28"
"Rpl10a",0,-0.298532237099405,0.131,0.289,0,"0","Rpl10a"
"Rpl11",0,-0.301310175088405,0.24,0.387,0,"0","Rpl11"
"Btg1",0,-0.301551939955275,0.09,0.241,0,"0","Btg1"
"Gpx1",0,-0.30341645515106,0.111,0.24,0,"0","Gpx1"
"Ly6a",0,-0.306091353607248,0.087,0.171,0,"0","Ly6a"
"Sftpa1",0,-0.307198260345356,0.618,0.251,0,"0","Sftpa1"
"Rpl36",0,-0.310466724341676,0.242,0.407,0,"0","Rpl36"
"Ctss",0,-0.310694738989427,0.048,0.186,0,"0","Ctss"
"Pfn1",0,-0.315397564732644,0.098,0.246,0,"0","Pfn1"
"Egr1",0,-0.329882671040519,0.017,0.16,0,"0","Egr1"
"Tpt1",0,-0.333626549042984,0.598,0.635,0,"0","Tpt1"
"Sh3bgrl3",0,-0.33731350096182,0.051,0.241,0,"0","Sh3bgrl3"
"Rpl6",0,-0.340384031635498,0.18,0.35,0,"0","Rpl6"
"Dusp1",0,-0.344517446660216,0.056,0.215,0,"0","Dusp1"
"Rpl27a",0,-0.348743343054993,0.334,0.473,0,"0","Rpl27a"
"Rpl21",0,-0.348850673118189,0.291,0.451,0,"0","Rpl21"
"Rps2",0,-0.349595701955534,0.172,0.35,0,"0","Rps2"
"Rpl14",0,-0.349631629211615,0.186,0.358,0,"0","Rpl14"
"Rpsa",0,-0.35025911217976,0.379,0.492,0,"0","Rpsa"
"Rps27",0,-0.350987653623825,0.327,0.413,0,"0","Rps27"
"Lgals3",0,-0.359381492866745,0.074,0.204,0,"0","Lgals3"
"Rpl18",0,-0.361294065641243,0.217,0.4,0,"0","Rpl18"
"Rpl8",0,-0.364916289921905,0.316,0.481,0,"0","Rpl8"
"Rps15",0,-0.375130742476218,0.375,0.541,0,"0","Rps15"
"Rpl9",0,-0.379931389070899,0.221,0.407,0,"0","Rpl9"
"Rpl37",0,-0.379983771071429,0.318,0.494,0,"0","Rpl37"
"Rps6",0,-0.383998401657902,0.173,0.327,0,"0","Rps6"
"Srgn",0,-0.387573418542869,0.039,0.224,0,"0","Srgn"
"Rps3a",0,-0.387950103906015,0.002,0.133,0,"0","Rps3a"
"Rpl23a",0,-0.389757098036937,0.191,0.325,0,"0","Rpl23a"
"Rps10",0,-0.392750064251918,0.28,0.457,0,"0","Rps10"
"Igkc",0,-0.397197244334444,0.428,0.208,0,"0","Igkc"
"Rps25",0,-0.399048790979168,0.193,0.397,0,"0","Rps25"
"Mgp",0,-0.401449297199379,0.387,0.196,0,"0","Mgp"
"Rpl39",0,-0.424266733874252,0.251,0.441,0,"0","Rpl39"
"mt-Nd1",0,-0.425295145284865,0.319,0.424,0,"0","mt-Nd1"
"H2-D1",0,-0.426465740017027,0.171,0.362,0,"0","H2-D1"
"Eef1a1",0,-0.431341204543505,0.507,0.621,0,"0","Eef1a1"
"Rpl19",0,-0.431659766977531,0.265,0.441,0,"0","Rpl19"
"Xist",0,-0.433398621223927,0.009,0.265,0,"0","Xist"
"Gm26917",0,-0.434368197601736,0.017,0.14,0,"0","Gm26917"
"Fos",0,-0.435743106848696,0.011,0.21,0,"0","Fos"
"H2-Ab1",0,-0.43680932119151,0.122,0.204,0,"0","H2-Ab1"
"Rps20",0,-0.442645478794887,0.3,0.489,0,"0","Rps20"
"Ifitm3",0,-0.445050339105362,0.137,0.289,0,"0","Ifitm3"
"Rpl17",0,-0.447318989131715,0.224,0.395,0,"0","Rpl17"
"Plac8",0,-0.449146669257419,0.02,0.151,0,"0","Plac8"
"Rps12",0,-0.449409548788049,0.396,0.524,0,"0","Rps12"
"Rps7",0,-0.455633987801257,0.198,0.392,0,"0","Rps7"
"Rps3",0,-0.47077791748329,0.199,0.401,0,"0","Rps3"
"Fcer1g",0,-0.474951792097376,0.025,0.214,0,"0","Fcer1g"
"Rplp1",0,-0.477459658211251,0.589,0.665,0,"0","Rplp1"
"Rps13",0,-0.47889849478809,0.175,0.392,0,"0","Rps13"
"Cd52",0,-0.48629013869906,0.063,0.275,0,"0","Cd52"
"Rps8",0,-0.499509670209049,0.407,0.575,0,"0","Rps8"
"Rpl23",0,-0.502467127940843,0.327,0.507,0,"0","Rpl23"
"Rpl35a",0,-0.504765936156926,0.358,0.555,0,"0","Rpl35a"
